"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","월별(1)",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",7.0,12.6,22.5,1.8,-3.4,16.5,2.6,7.2,15.7
"2011","4월",13.7,19.8,28.6,8.0,1.8,104.5,2.5,6.7,12.5
"2011","5월",18.8,24.2,29.1,13.8,9.3,156.8,2.4,8.0,15.5
"2011","6월",24.3,29.6,34.5,19.6,15.3,173.0,2.2,7.0,12.7
"2011","7월",26.8,31.3,35.0,23.4,20.1,427.7,2.0,6.7,13.1
"2011","8월",26.2,30.3,35.1,23.1,18.7,253.6,2.1,7.0,10.9
"2011","9월",23.0,27.9,35.5,18.9,11.6,38.5,2.0,6.2,11.5
"2012","3월",7.7,12.7,20.8,3.5,-3.4,82.1,2.5,8.7,15.7
"2012","4월",15.1,21.3,30.2,9.5,2.4,74.4,2.5,10.0,16.1
"2012","5월",20.1,26.2,31.8,15.1,11.0,50.6,2.1,7.4,15.2
"2012","6월",23.2,28.3,31.9,19.2,15.6,85.1,2.5,6.5,11.2
"2012","7월",27.5,32.1,37.2,23.7,20.1,202.5,2.1,6.3,9.6
"2012","8월",27.9,32.4,36.3,24.5,20.1,327.1,2.5,8.7,17.9
"2012","9월",21.7,26.8,31.0,17.6,11.9,241.5,1.8,9.1,16.3
"2013","3월",9.8,16.6,26.9,3.3,-2.3,55.1,2.0,4.5,8.1
"2013","4월",12.3,18.8,28.4,6.6,1.0,60.5,2.5,5.3,9.7
"2013","5월",20.3,26.8,34.4,14.6,8.7,70.5,2.2,4.6,7.8
"2013","6월",24.3,29.5,34.4,20.2,15.0,63.1,2.3,4.2,7.2
"2013","7월",28.7,33.3,35.9,25.1,22.3,249.3,1.9,4.3,8.3
"2013","8월",29.0,34.4,37.9,25.0,21.7,203.0,1.7,4.0,7.3
"2013","9월",23.0,28.0,33.0,19.0,13.6,96.7,1.6,3.8,6.6
"2014","3월",8.8,14.5,25.4,3.5,-2.5,106.5,2.3,9.6,15.0
"2014","4월",14.5,20.6,26.7,8.9,3.4,88.5,2.2,8.7,14.1
"2014","5월",20.2,27.1,36.8,13.6,6.3,25.5,2.3,8.3,14.0
"2014","6월",22.4,27.2,33.3,18.3,14.0,23.6,2.5,8.1,12.1
"2014","7월",26.1,31.1,37.4,22.3,18.8,124.5,2.0,11.2,19.9
"2014","8월",23.8,27.6,33.3,20.9,16.2,409.9,2.2,7.1,11.6
"2014","9월",21.4,26.6,31.8,17.0,12.5,105.5,1.8,6.6,11.0
"2015","3월",9.2,15.5,24.1,3.3,-4.8,50.5,2.2,8.0,16.9
"2015","4월",14.6,20.2,30.0,9.5,3.9,82.7,2.3,7.4,15.4
"2015","5월",21.7,28.0,34.5,15.4,9.6,34.7,2.0,7.3,14.5
"2015","6월",22.9,28.5,35.0,18.3,12.9,62.1,2.3,6.7,10.2
"2015","7월",25.0,29.5,37.0,21.3,16.8,157.5,2.4,7.7,15.6
"2015","8월",26.0,31.2,38.3,22.0,18.3,269.5,1.7,8.5,21.7
"2015","9월",20.6,25.9,30.0,16.2,12.8,70.3,1.8,6.6,10.7
"2016","3월",8.8,14.5,22.4,3.5,-4.6,67.5,2.2,7.5,10.8
"2016","4월",14.9,21.0,27.2,9.5,4.0,151.0,2.5,12.1,21.4
"2016","5월",20.0,26.7,32.3,13.6,8.2,65.0,2.3,11.6,19.3
"2016","6월",23.4,28.3,33.5,19.1,12.3,45.7,2.2,7.6,12.4
"2016","7월",26.4,31.5,36.1,22.6,19.4,307.3,2.0,7.7,19.4
"2016","8월",27.6,33.2,38.1,23.2,16.9,81.2,2.3,10.3,16.9
"2016","9월",21.9,25.9,32.2,18.7,13.1,306.5,1.6,6.4,13.6
"2017","3월",7.7,14.2,20.7,1.7,-3.2,49.5,1.8,…,10.2
"2017","4월",15.6,22.4,30.8,9.0,0.5,35.5,2.1,…,10.7
"2017","5월",20.8,28.3,36.9,13.7,7.8,26.5,2.0,…,13.4
"2017","6월",23.3,30.9,36.8,17.3,11.6,72.0,2.0,…,10.3
"2017","7월",28.0,33.6,38.8,23.8,18.6,120.0,1.8,…,11.6
"2017","8월",26.4,32.0,37.8,22.2,14.9,177.5,1.6,…,19.2
"2017","9월",21.2,27.7,31.0,15.8,8.2,108.5,1.5,…,11.0
"2018","3월",9.1,15.8,26.4,2.6,-3.0,125.5,2.1,…,15.8
"2018","4월",15.0,21.9,31.9,8.5,-0.7,140.0,2.3,…,13.4
"2018","5월",19.1,25.2,32.6,13.8,6.6,91.5,2.1,…,15.9
"2018","6월",23.1,28.6,35.8,18.0,12.7,119.0,1.7,…,11.3
"2018","7월",27.7,32.9,38.6,23.4,17.4,138.5,1.7,…,10.7
"2018","8월",27.3,32.9,38.7,23.1,17.6,330.5,1.7,…,11.1
"2018","9월",20.6,25.3,30.5,16.7,9.5,116.5,1.4,…,11.7
"2019","3월",9.2,15.5,23.4,3.2,-2.2,27.5,1.8,…,15.4
"2019","4월",13.2,19.5,27.0,7.5,1.0,87.0,1.6,…,12.6
"2019","5월",20.2,27.4,34.5,12.9,6.3,31.0,1.6,…,13.5
"2019","6월",22.3,28.3,35.4,17.0,13.1,335.0,1.5,…,9.3
"2019","7월",25.4,29.7,35.5,22.1,18.1,165.0,1.6,…,10.1
"2019","8월",26.9,32.0,36.7,23.0,17.0,118.0,1.5,…,10.3
"2019","9월",22.1,26.9,31.6,18.6,11.9,216.0,1.2,…,17.6
"2020","3월",9.4,15.8,24.4,3.3,-3.3,20.5,1.9,…,17.2
"2020","4월",12.4,19.0,27.0,6.0,1.0,33.5,2.0,…,18.1
"2020","5월",19.2,25.7,29.9,13.6,8.3,35.5,1.6,…,13.8
"2020","6월",24.1,30.5,36.9,18.6,14.0,192.0,1.4,…,10.4
"2020","7월",22.8,26.8,32.5,19.9,16.3,399.5,1.3,…,9.8
"2020","8월",28.5,33.6,37.8,24.7,22.8,237.5,1.6,…,13.8
"2020","9월",21.1,26.5,31.2,16.7,10.8,232.0,1.4,…,19.7
