"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"시점","항목",평균,평균 최고,최고극값,평균 최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균 풍속,최대 풍속,최대 순간풍속
"2011","3월",6.3,12.9,22.7,0.7,-3.6,14.5,39.9,25.4,-,-,1.5,7.4,-,9.5,21.6,-
"2011","4월",12.6,19.5,28.3,5.9,-1.8,74.0,52.9,15.9,-,-,2.6,6.7,-,8.5,13.8,-
"2011","5월",17.4,23.0,29.8,12.4,6.6,122.0,63.2,23.5,-,-,3.7,5.9,-,10.1,28.8,-
"2011","6월",22.8,28.6,35.3,18.0,13.9,140.5,66.7,51.5,-,-,3.0,6.3,-,8.7,20.7,-
"2011","7월",25.7,30.4,35.2,22.2,18.3,243.5,74.2,58.2,-,-,4.1,5.3,-,7.8,13.0,-
"2011","8월",25.5,29.7,34.9,22.4,17.8,88.0,77.7,65.6,-,-,5.5,3.8,-,6.7,12.8,-
"2011","9월",22.0,27.4,34.6,17.8,8.9,27.0,71.1,53.3,-,-,4.3,4.9,-,7.9,14.4,-
"2012","3월",7.0,12.1,21.3,2.4,-3.9,93.5,57.2,23.8,-,-,4.8,4.6,-,8.4,18.6,-
"2012","4월",14.1,20.9,32.4,8.1,0.6,82.5,52.4,23.7,-,-,3.0,6.6,-,10.6,29.1,-
"2012","5월",18.4,25.0,31.4,12.9,8.8,35.0,61.7,32.3,-,-,2.8,6.8,-,7.9,13.3,-
"2012","6월",21.5,26.3,32.0,17.9,13.0,53.5,64.4,26.8,-,-,4.1,5.1,-,8.1,11.2,-
"2012","7월",26.2,30.9,37.3,22.4,18.6,145.0,73.4,60.6,-,-,3.7,5.9,-,7.0,11.7,-
"2012","8월",26.6,31.1,35.5,23.5,19.7,230.0,76.5,67.2,-,-,4.5,4.8,-,8.1,15.7,-
"2012","9월",20.7,26.2,30.6,16.3,10.9,254.0,74.6,53.5,-,-,3.6,5.5,-,7.3,16.3,-
"2013","3월",7.8,16.5,26.6,1.7,-2.9,66.0,51.2,31.2,-,-,2.4,6.7,-,8.3,12.6,-
"2013","4월",13.8,18.1,28.7,5.6,0.6,83.5,53.0,27.1,-,-,2.7,6.7,-,9.3,17.1,-
"2013","5월",18.2,25.7,34.9,12.3,5.6,77.2,62.2,31.1,-,-,2.8,7.1,-,7.9,12.1,-
"2013","6월",21.4,27.3,34.1,18.5,13.8,57.9,71.5,44.1,-,-,4.3,5.3,-,6.5,8.8,-
"2013","7월",24.9,33.0,36.2,23.7,20.6,144.5,68.7,55.5,-,-,4.0,5.5,-,8.1,13.5,-
"2013","8월",25.7,34.2,38.6,23.7,19.6,108.2,71.0,56.6,-,-,2.4,7.1,-,6.8,13.6,-
"2013","9월",21.6,27.2,33.3,17.3,11.0,75.7,74.6,59.6,-,-,4.4,4.8,-,6.7,11.2,-
"2014","3월",8.3,14.8,26.9,2.6,-5.3,92.5,58.8,25.1,-,-,4.1,5.2,-,8.3,13.9,-
"2014","4월",13.9,20.8,27.5,7.7,2.9,113.0,57.4,28.4,-,-,3.3,6.1,-,8.2,15.9,-
"2014","5월",19.6,27.0,36.4,12.5,4.5,33.0,52.1,28.2,-,-,1.3,8.6,-,7.6,12.8,-
"2014","6월",21.5,26.2,33.2,17.6,13.2,63.5,72.3,46.6,-,-,5.4,4.3,-,7.1,9.9,-
"2014","7월",25.7,30.9,37.0,21.5,17.0,83.0,74.0,20.8,-,-,4.2,5.1,-,6.8,14.2,-
"2014","8월",23.6,27.8,34.3,20.9,15.3,557.0,82.0,69.2,-,-,6.8,2.7,-,7.2,12.2,-
"2014","9월",20.9,26.7,32.1,16.5,12.0,118.0,79.3,71.4,-,-,4.3,4.9,-,6.8,24.0,-
"2015","3월",7.0,14.7,25.6,-0.2,-5.7,47.5,48.9,21.9,1020.5,-,1.8,7.4,-,7.8,16.2,18.2
"2015","4월",12.3,19.1,30.0,6.1,0.0,110.3,66.7,34.6,1016.5,-,4.6,4.9,-,8.0,13.0,18.4
"2015","5월",19.1,27.0,34.9,11.7,4.7,41.6,54.7,31.6,1009.6,-,1.7,8.3,-,7.8,13.7,16.8
"2015","6월",21.2,27.4,33.7,16.1,10.2,77.7,71.5,41.7,1007.7,-,4.7,4.9,-,6.9,10.4,11.4
"2015","7월",24.0,29.0,37.9,20.0,15.0,224.7,74.9,58.3,1007.9,-,4.8,4.8,-,7.6,15.9,18.3
"2015","8월",25.4,31.4,37.6,20.9,16.9,171.6,75.0,57.8,1008.7,-,4.3,4.9,-,6.8,14.1,18.5
"2015","9월",19.8,25.6,30.3,15.6,11.0,104.2,78.2,61.6,1014.5,-,4.2,5.1,-,6.1,12.4,15.1
"2016","3월",7.6,14.1,22.4,1.8,-6.6,64.5,61.0,8.0,1021.3,-1.1,...,186.7,...,2.6,8.2,12.9
"2016","4월",13.7,20.1,27.8,7.8,1.5,159.6,66.0,12.0,1014.0,5.8,...,197.5,...,2.8,15.5,24.8
"2016","5월",19.0,26.4,31.2,12.0,5.8,50.5,61.0,10.0,1011.9,9.8,...,278.0,...,2.7,12.6,22.6
"2016","6월",22.4,27.9,33.5,17.6,10.9,40.9,74.0,16.0,1008.3,16.5,...,179.3,...,2.0,7.2,11.7
"2016","7월",25.7,31.3,36.3,21.5,17.8,168.1,79.0,38.0,1008.7,21.2,...,197.1,...,1.7,7.6,12.1
"2016","8월",26.7,33.3,39.4,21.8,14.5,50.7,73.0,23.0,1006.1,20.6,...,262.4,...,2.0,8.7,16.7
"2016","9월",21.3,25.7,31.3,18.1,13.3,451.5,87.0,36.0,1013.9,18.5,...,94.7,...,1.6,9.1,15.1
"2017","3월",6.8,13.9,19.7,0.5,-3.8,21.3,59.0,12.0,1018.9,-1.9,3.1,237.7,...,2.6,9.2,14.8
"2017","4월",14.6,21.5,31.0,7.2,0.0,66.4,60.0,10.0,1012.7,5.1,2.3,248.0,...,2.8,8.8,15.5
"2017","5월",19.7,27.5,36.2,12.3,5.1,31.1,60.0,14.0,1012.0,10.0,2.4,280.2,...,2.3,9.6,17.1
"2017","6월",22.2,29.4,36.5,16.3,11.1,25.6,67.0,18.0,1009.0,14.7,3.6,276.3,...,2.3,8.0,15.5
"2017","7월",27.5,33.3,39.7,23.0,17.8,125.3,76.0,22.0,1008.2,22.3,6.0,160.9,...,2.2,8.1,12.5
"2017","8월",25.5,30.7,36.7,21.7,14.9,119.4,81.0,26.0,1007.7,21.6,4.0,187.3,...,1.9,8.0,11.6
"2017","9월",20.3,26.8,31.2,14.9,7.0,114.3,80.0,22.0,1013.2,16.2,3.0,207.9,...,1.9,7.8,12.5
"2018","3월",8.5,15.3,26.1,2.0,-2.5,137.3,68.0,16.0,1020.1,1.8,-,210.6,...,3.1,11.9,199.3
"2018","4월",14.3,21.2,32.5,7.5,-0.5,115.3,61.0,9.0,1015.6,5.2,-,247.6,...,3.0,10.0,16.0
"2018","5월",18.2,23.9,32.9,12.7,6.5,69.3,72.0,16.0,1011.8,12.1,-,198.1,...,2.8,10.3,15.9
"2018","6월",22.3,28.1,35.5,17.0,11.1,124.6,74.0,25.0,1008.3,16.7,-,179.5,...,2.3,7.9,11.7
"2018","7월",26.9,32.5,39.3,22.5,16.2,216.1,81.0,36.0,1009.2,22.9,-,228.8,...,2.1,7.9,13.6
"2018","8월",26.6,32.4,39.8,22.4,16.4,207.0,82.0,40.0,1008.3,22.8,6.2,208.9,...,1.8,7.9,13.5
"2018","9월",20.3,25.2,30.2,16.5,9.0,121.6,85.0,36.0,1013.6,17.3,7.3,112.8,...,1.8,7.0,12.9
"2019","3월",8.8,15.8,23.4,2.3,-1.5,30.0,59.0,13.0,1016.5,0.0,4.6,238.4,...,2.8,10.6,17.8
"2019","4월",12.4,19.3,27.3,6.0,-2.8,85.0,63.0,10.0,1015.2,4.1,5.3,196.9,...,2.5,7.7,13.7
"2019","5월",19.2,27.2,35.3,11.4,4.9,20.9,60.0,13.0,1011.9,9.6,4.2,290.2,...,2.4,10.3,16.5
"2019","6월",21.4,27.2,34.2,16.5,12.3,175.0,76.0,25.0,1007.8,16.2,5.8,212.3,...,1.9,7.1,12.4
"2019","7월",24.8,29.7,36.2,21.1,16.8,159.2,82.0,37.0,1007.2,21.2,7.3,146.0,...,2.1,8.6,15.6
"2019","8월",26.1,31.8,37.5,22.1,16.2,184.9,83.0,41.0,1007.5,22.5,5.9,212.0,...,1.7,7.1,11.8
"2019","9월",21.8,27.1,33.0,17.7,9.6,253.0,85.0,31.0,1015.6,18.8,7.1,123.4,...,1.8,11.8,20.2
